model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_atr_14,x_rogers_satchell,x_macd,x_roc_10,x_spy_volume,x_cpi,x_aaa,x_ndx_close,x_ust_10y,x_yield_slope,x_spx_high,x_gold_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,13,2023-05-26,2023-06-21,16,0.010357206873029405,0.013541183376832674,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0031839765038032698,1.0137706376771293e-05,0.03292025819934885
TSMixerX,13,2023-05-26,2023-06-22,17,0.010270070843893492,0.013838149395995031,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0035680785521015387,1.2731184553967012e-05,0.040351683748750755
TSMixerX,13,2023-05-26,2023-06-23,18,0.010739313928919884,0.013651088923853007,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.0029117749949331227,8.478433621117787e-06,0.02660825251096699
TSMixerX,13,2023-05-26,2023-06-26,19,0.010502754105652585,0.014875516354553692,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.004372762248901107,1.9121049685414666e-05,0.05412213928727172
TSMixerX,13,2023-05-26,2023-06-27,20,0.010413895623972748,0.01659967649937038,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.006185780875397631,3.8263885038435086e-05,0.09359751092902702
TSMixerX,13,2023-05-26,2023-06-28,21,0.009251796073448016,0.016616168811974193,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.007364372738526177,5.423398583194754e-05,0.1423533242709185
TSMixerX,13,2023-05-26,2023-06-29,22,0.008922339813578187,0.020110881508803215,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,0.011188541695225028,0.00012518346526578896,0.25636013506300137
TSMixerX,13,2023-05-30,2023-05-31,1,0.012865043343379786,0.007347797815828748,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,38.92,3.08009356e-05,2.67,17.46,3.294124422e-05,1.664492918e-05,0.03776607316,2.770536675e-10,44.40173533498211,3.235659799e-05,21.45790516847865,0.01673967913,72215960,301.821,4.71,14354.99,3.6866,-1.5654,4231.1,1959.33,4205.52,0.01307774944671486,0.11435798811939138,-0.005517245527551038,3.043999821128193e-05,0.19075746014668304
TSMixerX,13,2023-05-30,2023-06-01,2,0.013396977083257596,0.007070074786835632,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,38.92,3.08009356e-05,2.67,17.46,3.294124422e-05,1.664492918e-05,0.03776607316,2.770536675e-10,44.40173533498211,3.235659799e-05,21.45790516847865,0.01673967913,72215960,301.821,4.71,14354.99,3.6866,-1.5654,4231.1,1959.33,4205.52,0.01307774944671486,0.11435798811939138,-0.006326902296421964,4.0029692668469524e-05,0.25572674383657423
TSMixerX,13,2023-05-30,2023-06-02,3,0.012412290933264892,0.007599146322646223,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,38.92,3.08009356e-05,2.67,17.46,3.294124422e-05,1.664492918e-05,0.03776607316,2.770536675e-10,44.40173533498211,3.235659799e-05,21.45790516847865,0.01673967913,72215960,301.821,4.71,14354.99,3.6866,-1.5654,4231.1,1959.33,4205.52,0.01307774944671486,0.11435798811939138,-0.004813144610618669,2.3166361042727536e-05,0.1427283754065387
