model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa_aaa_spread,x_vix_term_spread,x_volume_medio_22d,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_baa,x_roc_10,x_rsi_14,x_ust_3m,x_spx_low,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,1,2011-09-15,2011-09-16,1,0.0641337045482029,0.06084539489112411,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.0032883096570787904,1.0812980400837632e-05,0.001409789125044636
LSTM,1,2011-09-15,2011-09-19,2,0.06505264232698375,0.06211231131093356,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.0029403310160501933,8.645546483946762e-06,0.0010863355982333456
LSTM,1,2011-09-15,2011-09-20,3,0.05950893887722092,0.04942754036572104,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.010081398511499876,0.0001016345959476719,0.01834441565815692
LSTM,1,2011-09-15,2011-09-21,4,0.0582584405168332,0.04975994936448153,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.00849849115235167,7.222435186659961e-05,0.0131112342956059
LSTM,1,2011-09-15,2011-09-22,5,0.062222446384537514,0.05074135593777033,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.011481090446767185,0.00013181543784684873,0.022292390476642332
LSTM,1,2011-09-15,2011-09-23,6,0.06137341549709376,0.054344679313635756,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.0070287361834580064,4.9403132336651824e-05,0.007706177453291607
LSTM,1,2011-09-15,2011-09-26,7,0.06260412843178519,0.045047689494283935,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.01755643893750125,0.00030822854816621003,0.06062053445085702
LSTM,1,2011-09-15,2011-09-27,8,0.06339182746601435,0.04420489539109436,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.01918693207491999,0.00036813836244759354,0.07354600255345822
LSTM,1,2011-09-15,2011-09-28,9,0.058394442473674535,0.033963097030153745,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.02443134544352079,0.000596890640180644,0.17740358403517043
LSTM,1,2011-09-15,2011-09-29,10,0.06164317082221635,0.04353626453126103,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,30.5651653934755,31.97,0.5165,20.43,9.70298095e-05,0.09564824337,-8.593870243589436,3.0589518e-05,326777105,1.21,1.55,297196941.3,0.01704110402,0.0,0.0002903992262,5.4,-0.008023693689,53.11295026104948,0.0,1189.44,1209.11,0.08983960699037498,0.2997325591095752,-0.018106906290955314,0.00032786005542943716,0.06813580179734813
