model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_volume_medio_22d,x_vix,x_spy_volume,x_ukx_close,x_bollinger_width_20,x_parkinson,x_indu_close,x_industrial_production,x_baa,x_cpi,x_obv,x_unemployment,x_ndx_close,x_vix_term_spread,x_garman_klass,x_ret_spx_abs,x_rv_diaria,x_macd,x_atr_14,x_true_range,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,10,2020-06-29,2020-06-30,1,0.060082336817961074,0.019152806454716124,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.040929530363244954,0.0016752264557557907,0.9937324650538621
TSMixerX,10,2020-06-29,2020-07-01,2,0.05992946439119113,0.022431277728834464,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.037498186662356665,0.0014061140029649434,0.6889799962543091
TSMixerX,10,2020-06-29,2020-07-02,3,0.060979659251613534,0.025682298838171875,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.035297360413441656,0.0012459036521563981,0.5096464109954499
TSMixerX,10,2020-06-29,2020-07-06,4,0.06106373814974101,0.01798368589347931,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.0430800522562617,0.0018558909024022389,1.1730541801352867
TSMixerX,10,2020-06-29,2020-07-07,5,0.06115136561564336,0.02448572495358751,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.036665640662055854,0.0013443692051590037,0.5821673449630957
TSMixerX,10,2020-06-29,2020-07-08,6,0.058149116694408344,0.019851758316844284,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.03829735837756406,0.0014666876586995762,0.8544489622137423
TSMixerX,10,2020-06-29,2020-07-09,7,0.06009530268782881,0.01750909239130769,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.04258621029652112,0.0018135853074195214,1.199022658033845
TSMixerX,10,2020-06-29,2020-07-10,8,0.06016710075595442,0.018362889390783853,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.04180421136517057,0.001747592087863856,1.0897656017260084
TSMixerX,10,2020-06-29,2020-07-13,9,0.06275187285932446,0.019218916133629145,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.043532956725695314,0.0018951183212812608,1.0818164606307628
TSMixerX,10,2020-06-29,2020-07-14,10,0.05567526379111656,0.023958355468025692,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107258902.5,31.78,79773260,6225.77,0.08120005506,0.0001154417447,25595.8,84.5619,3.58,256.032,10242843520,14.8,9961.16,2.13,0.000109714568,0.01457890754,0.000212544545,19.97109559353066,65.74124861994683,54.15,3053.24,0.02034028633054639,0.14261937571924227,-0.03171690832309086,0.0010059622735753503,0.4806161335634751
